trait number,breed number,expected numbers of errors,average number of questions asked,failed cases,successful answer,unsuccessful answer,success rate
9,2,,9.0,0,472,528,0.472
9,34,,9.0,0,27,973,0.027
9,66,,9.0,0,17,983,0.017
9,98,,9.0,0,8,992,0.008
9,130,,9.0,0,7,993,0.007
9,162,,9.0,0,5,995,0.005
9,194,,9.0,0,3,997,0.003
9,226,,9.0,0,7,993,0.007
9,258,,9.0,0,4,996,0.004
9,290,,9.0,0,5,995,0.005
9,322,,9.0,0,1,999,0.001
9,354,,9.0,0,2,998,0.002
9,386,,9.0,0,1,999,0.001
9,418,,9.0,0,4,996,0.004
9,450,,9.0,0,4,996,0.004
9,482,,9.0,0,0,1000,0.0
