trait number,breed number,expected numbers of errors,average number of questions asked,failed cases,successful answer,unsuccessful answer,success rate
4,2,,4.0,0,485,515,0.485
4,3,,4.0,0,314,686,0.314
4,4,,4.0,0,250,750,0.25
4,5,,4.0,0,189,811,0.189
4,6,,4.0,0,158,842,0.158
4,7,,4.0,0,154,846,0.154
4,8,,4.0,0,112,888,0.112
4,9,,4.0,0,117,883,0.117
4,10,,4.0,0,108,892,0.108
4,11,,4.0,0,71,929,0.071
4,12,,4.0,0,83,917,0.083
4,13,,4.0,0,78,922,0.078
4,14,,4.0,0,68,932,0.068
4,15,,4.0,0,65,935,0.065
4,16,,4.0,0,63,937,0.063
